COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Flame-colored Tanager,Piranga bidentata,Passeriformes,Cardinalidae (Cardinals and Allies),Piranga_bidentata,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Papuan Boobook,Ninox theomacha,Strigiformes,Strigidae (Owls),Ninox_theomacha,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Black-throated Magpie-Jay,Calocitta colliei,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Calocitta_colliei,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Broad-tailed Paradise-Whydah,Vidua obtusa,Passeriformes,Viduidae (Indigobirds),Vidua_obtusa,BL3,P7,Viduidae,Indigobirds and allies,185,PASSERIFORMES,Passeri
Cinnamon-rumped Seedeater,Sporophila torqueola,Passeriformes,Thraupidae (Tanagers and Allies),Sporophila_torqueola,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
White-throated Magpie-Jay,Calocitta formosa,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Calocitta_formosa,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Whiskered Screech-Owl,Megascops trichopsis,Strigiformes,Strigidae (Owls),Megascops_trichopsis,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Congo Peacock,Afropavo congensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Afropavo_congensis,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
American Coot,Fulica americana,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Fulica_americana,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
American Crow,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus_brachyrhynchos,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
American Kestrel,Falco sparverius,Falconiformes,Falconidae (Falcons and Caracaras),Falco_sparverius,BL3,Falconidae,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES
American Pipit,Anthus rubescens,Passeriformes,Motacillidae (Wagtails and Pipits),Anthus_rubescens,BL3,P9,Motacillidae,Wagtails and pipits,170,PASSERIFORMES,Passeri
American Redstart,Setophaga ruticilla,Passeriformes,Parulidae (New World Warblers),Setophaga_ruticilla,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
American Robin,Turdus migratorius,Passeriformes,Turdidae (Thrushes and Allies),Turdus_migratorius,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
American White Pelican,Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae (Pelicans),Pelecanus_erythrorhynchos,BL3,Pelecanidae,Pelecanidae,Pelicans,30,PELECANIFORMES,NONPASSERIFORMES
Anhinga,Anhinga anhinga,Suliformes,Anhingidae (Anhingas),Anhinga_anhinga,BL3,Anhingidae,Anhingidae,Anhingas,33,SULIFORMES,NONPASSERIFORMES
Bald Eagle,Haliaeetus leucocephalus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Haliaeetus_leucocephalus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae (Swallows),Hirundo_rustica,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri
Barred Owl,Strix varia,Strigiformes,Strigidae (Owls),Strix_varia,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Belted Kingfisher,Megaceryle alcyon,Coraciiformes,Alcedinidae (Kingfishers),Megaceryle_alcyon,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES
Black-and-white Warbler,Mniotilta varia,Passeriformes,Parulidae (New World Warblers),Mniotilta_varia,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Black-chinned Hummingbird,Archilochus alexandri,Caprimulgiformes,Trochilidae (Hummingbirds),Archilochus_alexandri,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Black Vulture,Coragyps atratus,Cathartiformes,Cathartidae (New World Vultures),Coragyps_atratus,BL3,Cathartidae,Cathartidae,New World vultures,34,ACCIPITRIFORMES,NONPASSERIFORMES
Blue-headed Vireo,Vireo solitarius,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_solitarius,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Blue Grosbeak,Passerina caerulea,Passeriformes,Cardinalidae (Cardinals and Allies),Passerina_caerulea,BL3,P12,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Blue Jay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Cyanocitta_cristata,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Boat-tailed Grackle,Quiscalus major,Passeriformes,Icteridae (Troupials and Allies),Quiscalus_major,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Brown-headed Cowbird,Molothrus ater,Passeriformes,Icteridae (Troupials and Allies),Molothrus_ater,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Brown Pelican,Pelecanus occidentalis,Pelecaniformes,Pelecanidae (Pelicans),Pelecanus_occidentalis,BL3,Pelecanidae,Pelecanidae,Pelicans,30,PELECANIFORMES,NONPASSERIFORMES
Brown Thrasher,Toxostoma rufum,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma_rufum,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Carolina Wren,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),Thryothorus_ludovicianus,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri
Cattle Egret,Bubulcus ibis,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Bubulcus_ibis,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Cedar Waxwing,Bombycilla cedrorum,Passeriformes,Bombycillidae (Waxwings),Bombycilla_cedrorum,BL3,M2,Bombycillidae,Waxwings,152,PASSERIFORMES,Passeri
Chimney Swift,Chaetura pelagica,Caprimulgiformes,Apodidae (Swifts),Chaetura_pelagica,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES
Chipping Sparrow,Spizella passerina,Passeriformes,Passerellidae (New World Sparrows),Spizella_passerina,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Common Grackle,Quiscalus quiscula,Passeriformes,Icteridae (Troupials and Allies),Quiscalus_quiscula,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Common Yellowthroat,Geothlypis trichas,Passeriformes,Parulidae (New World Warblers),Geothlypis_trichas,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Cooper's Hawk,Accipiter cooperii,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Accipiter_cooperii,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Dark-eyed Junco,Junco hyemalis,Passeriformes,Passerellidae (New World Sparrows),Junco_hyemalis,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Double-crested Cormorant,Phalacrocorax auritus,Suliformes,Phalacrocoracidae (Cormorants and Shags),Phalacrocorax_auritus,BL3,Phalacrocoracidae,Phalacrocoracidae,Cormorants,32,SULIFORMES,NONPASSERIFORMES
Eastern Bluebird,Sialia sialis,Passeriformes,Turdidae (Thrushes and Allies),Sialia_sialis,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Eastern Kingbird,Tyrannus tyrannus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus_tyrannus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Eastern Meadowlark,Sturnella magna,Passeriformes,Icteridae (Troupials and Allies),Sturnella_magna,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Eastern Phoebe,Sayornis phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers),Sayornis_phoebe,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Eastern Towhee,Pipilo erythrophthalmus,Passeriformes,Passerellidae (New World Sparrows),Pipilo_erythrophthalmus,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Fish Crow,Corvus ossifragus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus_ossifragus,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Forster's Tern,Sterna forsteri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_forsteri,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Golden-crowned Kinglet,Regulus satrapa,Passeriformes,Regulidae (Kinglets),Regulus_satrapa,BL3,Regulus,Reguliidae,Goldcrests and kinglets,166,PASSERIFORMES,Passeri
Great-tailed Grackle,Quiscalus mexicanus,Passeriformes,Icteridae (Troupials and Allies),Quiscalus_mexicanus,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Great Blue Heron,Ardea herodias,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Ardea_herodias,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Great Crested Flycatcher,Myiarchus crinitus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus_crinitus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Great Horned Owl,Bubo virginianus,Strigiformes,Strigidae (Owls),Bubo_virginianus,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_albifrons,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Green Heron,Butorides virescens,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Butorides_virescens,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Hermit Thrush,Catharus guttatus,Passeriformes,Turdidae (Thrushes and Allies),Catharus_guttatus,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Herring Gull,Larus argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_argentatus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
House Sparrow,Passer domesticus,Passeriformes,Passeridae (Old World Sparrows),Passer_domesticus,BL3,P8,Passeridae,"Sparrows, snowfinches and allies",183,PASSERIFORMES,Passeri
House Wren,Troglodytes aedon,Passeriformes,Troglodytidae (Wrens),Troglodytes_aedon,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri
Inca Dove,Columbina inca,Columbiformes,Columbidae (Pigeons and Doves),Columbina_inca,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Indigo Bunting,Passerina cyanea,Passeriformes,Cardinalidae (Cardinals and Allies),Passerina_cyanea,BL3,P12,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Killdeer,Charadrius vociferus,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius_vociferus,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
Least Sandpiper,Calidris minutilla,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_minutilla,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Little Blue Heron,Egretta caerulea,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Egretta_caerulea,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Loggerhead Shrike,Lanius ludovicianus,Passeriformes,Laniidae (Shrikes),Lanius_ludovicianus,BL3,CC8,Laniidae,Shrikes,140,PASSERIFORMES,Passeri
Mallard,Anas platyrhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_platyrhynchos,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Marsh Wren,Cistothorus palustris,Passeriformes,Troglodytidae (Wrens),Cistothorus_palustris,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri
Mississippi Kite,Ictinia mississippiensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Ictinia_mississippiensis,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Mottled Duck,Anas fulvigula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_fulvigula,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Mourning Dove,Zenaida macroura,Columbiformes,Columbidae (Pigeons and Doves),Zenaida_macroura,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Neotropic Cormorant,Phalacrocorax brasilianus,Suliformes,Phalacrocoracidae (Cormorants and Shags),Phalacrocorax_brasilianus,BL3,Phalacrocoracidae,Phalacrocoracidae,Cormorants,32,SULIFORMES,NONPASSERIFORMES
Northern Cardinal,Cardinalis cardinalis,Passeriformes,Cardinalidae (Cardinals and Allies),Cardinalis_cardinalis,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Northern Flicker,Colaptes auratus,Piciformes,Picidae (Woodpeckers),Colaptes_auratus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Northern Mockingbird,Mimus polyglottos,Passeriformes,Mimidae (Mockingbirds and Thrashers),Mimus_polyglottos,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Passeriformes,Hirundinidae (Swallows),Stelgidopteryx_serripennis,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri
Orchard Oriole,Icterus spurius,Passeriformes,Icteridae (Troupials and Allies),Icterus_spurius,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Osprey,Pandion haliaetus,Accipitriformes,Pandionidae (Osprey),Pandion_haliaetus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Painted Bunting,Passerina ciris,Passeriformes,Cardinalidae (Cardinals and Allies),Passerina_ciris,BL3,P12,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Pectoral Sandpiper,Calidris melanotos,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_melanotos,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Pied-billed Grebe,Podilymbus podiceps,Podicipediformes,Podicipedidae (Grebes),Podilymbus_podiceps,BL3,Podicipedidae,Podicipedidae,Grebes,21,PODICIPEDIFORMES,NONPASSERIFORMES
Pileated Woodpecker,Dryocopus pileatus,Piciformes,Picidae (Woodpeckers),Dryocopus_pileatus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Purple Martin,Progne subis,Passeriformes,Hirundinidae (Swallows),Progne_subis,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri
Red-bellied Woodpecker,Melanerpes carolinus,Piciformes,Picidae (Woodpeckers),Melanerpes_carolinus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Red-breasted Nuthatch,Sitta canadensis,Passeriformes,Sittidae (Nuthatches),Sitta_canadensis,BL3,M1,Sittidae,Nuthatches and Wallcreeper,173,PASSERIFORMES,Passeri
Red-eyed Vireo,Vireo olivaceus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_olivaceus,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Red-shouldered Hawk,Buteo lineatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_lineatus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Red-tailed Hawk,Buteo jamaicensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_jamaicensis,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Red-winged Blackbird,Agelaius phoeniceus,Passeriformes,Icteridae (Troupials and Allies),Agelaius_phoeniceus,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Redhead,Aythya americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_americana,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Ring-billed Gull,Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_delawarensis,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Roseate Spoonbill,Platalea ajaja,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Platalea_ajaja,BL3,Threskiornithidae,Threskiornithidae,Ibises and spoonbills,24,PELECANIFORMES,NONPASSERIFORMES
Ruby-crowned Kinglet,Regulus calendula,Passeriformes,Regulidae (Kinglets),Regulus_calendula,BL3,Regulus,Reguliidae,Goldcrests and kinglets,166,PASSERIFORMES,Passeri
Ruby-throated Hummingbird,Archilochus colubris,Caprimulgiformes,Trochilidae (Hummingbirds),Archilochus_colubris,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Rufous Hummingbird,Selasphorus rufus,Caprimulgiformes,Trochilidae (Hummingbirds),Selasphorus_rufus,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Rusty Blackbird,Euphagus carolinus,Passeriformes,Icteridae (Troupials and Allies),Euphagus_carolinus,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Savannah Sparrow,Passerculus sandwichensis,Passeriformes,Passerellidae (New World Sparrows),Passerculus_sandwichensis,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Sedge Wren,Cistothorus platensis,Passeriformes,Troglodytidae (Wrens),Cistothorus_platensis,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri
Snowy Egret,Egretta thula,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Egretta_thula,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Song Sparrow,Melospiza melodia,Passeriformes,Passerellidae (New World Sparrows),Melospiza_melodia,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Spotted Sandpiper,Actitis macularius,Charadriiformes,Scolopacidae (Sandpipers and Allies),Actitis_macularius,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Summer Tanager,Piranga rubra,Passeriformes,Cardinalidae (Cardinals and Allies),Piranga_rubra,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Swamp Sparrow,Melospiza georgiana,Passeriformes,Passerellidae (New World Sparrows),Melospiza_georgiana,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Tree Swallow,Tachycineta bicolor,Passeriformes,Hirundinidae (Swallows),Tachycineta_bicolor,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri
Tufted Titmouse,Baeolophus bicolor,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Baeolophus_bicolor,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Turkey Vulture,Cathartes aura,Cathartiformes,Cathartidae (New World Vultures),Cathartes_aura,BL3,Cathartidae,Cathartidae,New World vultures,34,ACCIPITRIFORMES,NONPASSERIFORMES
White-eyed Vireo,Vireo griseus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_griseus,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
White-faced Ibis,Plegadis chihi,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Plegadis_chihi,BL3,Threskiornithidae,Threskiornithidae,Ibises and spoonbills,24,PELECANIFORMES,NONPASSERIFORMES
White-throated Sparrow,Zonotrichia albicollis,Passeriformes,Passerellidae (New World Sparrows),Zonotrichia_albicollis,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
White-winged Dove,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Zenaida_asiatica,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
White Ibis,Eudocimus albus,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Eudocimus_albus,BL3,Threskiornithidae,Threskiornithidae,Ibises and spoonbills,24,PELECANIFORMES,NONPASSERIFORMES
Wood Duck,Aix sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aix_sponsa,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Wood Thrush,Hylocichla mustelina,Passeriformes,Turdidae (Thrushes and Allies),Hylocichla_mustelina,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Yellow-bellied Sapsucker,Sphyrapicus varius,Piciformes,Picidae (Woodpeckers),Sphyrapicus_varius,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Yellow-billed Cuckoo,Coccyzus americanus,Cuculiformes,Cuculidae (Cuckoos),Coccyzus_americanus,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES
Acadian Flycatcher,Empidonax virescens,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_virescens,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_canadensis,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Rock Pigeon,Columba livia,Columbiformes,Columbidae (Pigeons and Doves),Columba_livia,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
White-breasted Nuthatch,Sitta carolinensis,Passeriformes,Sittidae (Nuthatches),Sitta_carolinensis,BL3,M1,Sittidae,Nuthatches and Wallcreeper,173,PASSERIFORMES,Passeri
Field Sparrow,Spizella pusilla,Passeriformes,Passerellidae (New World Sparrows),Spizella_pusilla,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Red-headed Woodpecker,Melanerpes erythrocephalus,Piciformes,Picidae (Woodpeckers),Melanerpes_erythrocephalus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Scarlet Tanager,Piranga olivacea,Passeriformes,Cardinalidae (Cardinals and Allies),Piranga_olivacea,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
White-crowned Sparrow,Zonotrichia leucophrys,Passeriformes,Passerellidae (New World Sparrows),Zonotrichia_leucophrys,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Baltimore Oriole,Icterus galbula,Passeriformes,Icteridae (Troupials and Allies),Icterus_galbula,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Black Tern,Chlidonias niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Chlidonias_niger,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Bobolink,Dolichonyx oryzivorus,Passeriformes,Icteridae (Troupials and Allies),Dolichonyx_oryzivorus,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Bohemian Waxwing,Bombycilla garrulus,Passeriformes,Bombycillidae (Waxwings),Bombycilla_garrulus,BL3,M2,Bombycillidae,Waxwings,152,PASSERIFORMES,Passeri
Broad-winged Hawk,Buteo platypterus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_platypterus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Bufflehead,Bucephala albeola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bucephala_albeola,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_hutchinsii,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
California Gull,Larus californicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_californicus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Canvasback,Aythya valisineria,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_valisineria,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Cliff Swallow,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae (Swallows),Petrochelidon_pyrrhonota,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri
Common Loon,Gavia immer,Gaviiformes,Gaviidae (Loons),Gavia_immer,BL3,Gaviidae,Gaviidae,Loons or divers,16,GAVIIFORMES,NONPASSERIFORMES
Common Merganser,Mergus merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergus_merganser,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Common Nighthawk,Chordeiles minor,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Chordeiles_minor,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES
Fox Sparrow,Passerella iliaca,Passeriformes,Passerellidae (New World Sparrows),Passerella_iliaca,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Golden-winged Warbler,Vermivora chrysoptera,Passeriformes,Parulidae (New World Warblers),Vermivora_chrysoptera,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Greater Scaup,Aythya marila,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_marila,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
