city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Waterville_ME,Maine,44.544,-69.6626,26806,46.69274843279472,189,3256,41944.63,Yes
Roanoke Rapids_NC,North Carolina,36.4453,-77.6491,23546,70.65309637915435,157,130,42150.624,Yes
Georgetown_KY,Kentucky,38.2253,-84.5481,35353,567.2205143478211,105,132,42343.622,Yes
Rockport_TX,Texas,28.0351,-97.0663,19819,2.1910773531003755,341,6689,42478.687,Yes
Dyersburg_TN,Tennessee,36.0459,-89.3782,21313,635.4203203577224,124,127,42487.102,Yes
Richmond_KY,Kentucky,37.724,-84.2928,39267,522.5611457649261,197,569,42621.629,Yes
Coos Bay_OR,Oregon,43.3789,-124.233,32024,1.2938681661185214,240,2327,42682.839,Yes
DeRidder_LA,Louisiana,30.8467,-93.2931,13934,133.18441248037527,125,212,42711.465,Yes
Desert Hot Springs_CA,California,33.955,-116.543,43327,150.4497374812826,188,745,42740.16,Yes
Alamogordo_NM,New Mexico,32.8834,-105.9627,32782,753.9152065695846,108,186,42917.924,Yes
Mount Pleasant_MI,Michigan,43.5966,-84.7758,37877,622.5630364201061,214,1951,43060.562,Yes
Cedar City_UT,Utah,37.6834,-113.0957,35921,695.8705424313044,182,1270,43513.592,Yes
Selma_AL,Alabama,32.4166,-87.0336,21786,223.88372829139644,61,15,43710.864,No
Huntsville_TX,Texas,30.705,-95.5545,39476,109.36235581396417,152,223,43921.679,Yes
Elizabeth City_NC,North Carolina,36.2946,-76.2357,22934,1.1267938101987027,130,121,43981.562,Yes
Brownwood_TX,Texas,31.7124,-98.9765,22551,336.10231740399723,168,178,44025.132,Yes
Bardstown_KY,Kentucky,37.8175,-85.455,21143,583.611193484319,115,649,44048.02,Yes
Sunbury_PA,Pennsylvania,40.8615,-76.7875,28544,127.49016769595718,209,836,44055.945,Yes
Starkville_MS,Mississippi,33.4608,-88.8297,32441,325.12665003354454,197,1618,44111.185,Yes
Palestine_TX,Texas,31.7544,-95.6471,18914,216.04188670176129,95,57,44157.608,Yes
