city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Long Prairie_MN,Minnesota,45.978,-94.8636,3236,1238.472435,89,91,4.042854,Yes
Cazenovia_NY,New York,42.9281,-75.8511,3125,187.9871361,172,512,4.044094,Yes
Le Roy_IL,Illinois,40.3394,-88.7629,3307,865.911584,40,6,4.046707,No
Rock Valley_IA,Iowa,43.2045,-96.2916,3394,1362.977032,85,15,4.050056,No
Meyersdale_PA,Pennsylvania,39.8133,-79.0277,2454,152.3582076,42,12,4.053686,No
Johnstown_OH,Ohio,40.1499,-82.6881,4852,400.0543748,90,174,4.056583,Yes
Fayette_MO,Missouri,39.147,-92.6857,2661,968.9769249,38,7,4.058635,No
Gonzales_CA,California,36.5061,-121.4429,8447,26.32737419,114,128,4.068349,Yes
Eatonville_WA,Washington,46.8682,-122.2697,3005,25.83878974,92,166,4.06928,Yes
Brillion_WI,Wisconsin,44.1755,-88.0708,2947,814.1801106,24,5,4.075194,No
Johnston City_IL,Illinois,37.8213,-88.9287,3565,730.2064229,74,35,4.075853,No
West Jefferson_OH,Ohio,39.9487,-83.2993,4687,448.9506514,118,51,4.08902,Yes
Parlier_CA,California,36.6082,-119.5436,15174,163.5554019,0,0,4.094211,No
Chisholm_MN,Minnesota,47.4877,-92.8787,4589,1161.912672,91,16,4.117829,No
Plain City_OH,Ohio,40.1067,-83.2693,4355,444.3299712,83,42,4.125551,No
Nashville_IL,Illinois,38.3515,-89.3772,3089,782.5371318,15,3,4.126259,No
Odem_TX,Texas,27.9463,-97.5866,2830,8.882840369,82,20,4.129172,No
Houtzdale_PA,Pennsylvania,40.8251,-78.3511,3937,178.4153156,37,4,4.136282,No
Yountville_CA,California,38.3956,-122.3669,3010,29.60829168,108,108,4.140203,Yes
El Paso_IL,Illinois,40.7405,-89.0181,2744,878.4141969,45,12,4.14167,No
Davis_OK,Oklahoma,34.4578,-97.1655,2705,519.8811693,37,9,4.14458,No
Welch_WV,West Virginia,37.4455,-81.5721,2338,361.4700403,30,10,4.159323,No
Reynoldsville_PA,Pennsylvania,41.0946,-78.888,2766,218.127684,16,3,4.160054,No
